Name;a;b;t;r2;r1
100x100x9;100;100;9;12;5
100x100x10;100;100;10;12;5
100x100x11;100;100;11;12;6
100x100x12;100;100;12;12;6
100x100x14;100;100;14;12;7
100x100x15;100;100;15;12;8
100x100x16;100;100;16;12;8
110x110x6;110;110;6;12;3
110x110x7;110;110;7;12;4
110x110x8;110;110;8;12;4
110x110x9;110;110;9;12;5
110x110x10;110;110;10;12;5
110x110x11;110;110;11;12;6
110x110x12;110;110;12;12;6
110x110x14;110;110;14;12;7
120x120x7;120;120;7;13;4
120x120x8;120;120;8;13;4
120x120x9;120;120;9;13;5
120x120x10;120;120;10;13;5
120x120x11;120;120;11;13;6
120x120x12;120;120;12;13;6
120x120x13;120;120;13;13;7
120x120x14;120;120;14;13;7
120x120x15;120;120;15;13;8
120x120x16;120;120;16;13;8
130x130x8;130;130;8;14;4
130x130x9;130;130;9;14;5
130x130x10;130;130;10;14;5
130x130x11;130;130;11;14;6
130x130x12;130;130;12;14;6
130x130x13;130;130;13;14;7
130x130x14;130;130;14;14;7
130x130x15;130;130;15;14;8
130x130x16;130;130;16;14;8
140x140x9;140;140;9;15;5
140x140x10;140;140;10;15;5
140x140x11;140;140;11;15;6
140x140x12;140;140;12;15;6
140x140x13;140;140;13;15;7
140x140x14;140;140;14;15;7
140x140x15;140;140;15;15;8
140x140x16;140;140;16;15;8
150x150x10;150;150;10;16;5
150x150x12;150;150;12;16;6
150x150x13;150;150;13;16;7
150x150x14;150;150;14;16;7
150x150x15;150;150;15;16;8
150x150x16;150;150;16;16;8
150x150x18;150;150;18;16;9
150x150x20;150;150;20;16;10
160x160x14;160;160;14;17;7
160x160x15;160;160;15;17;8
160x160x16;160;160;16;17;8
160x160x17;160;160;17;17;9
160x160x18;160;160;18;17;9
160x160x20;160;160;20;17;10
180x180x13;180;180;13;18;7
180x185x14;180;180;14;18;7
180x180x15;180;180;15;18;8
180x180x16;180;180;16;18;8
180x180x17;180;180;17;18;9
180x180x18;180;180;18;18;9
180x180x19;180;180;19;18;10
180x180x20;180;180;20;18;10
200x200x13;200;200;13;18;7
200x200x15;200;200;15;18;8
200x200x16;200;200;16;18;8
200x200x17;200;200;17;18;9
200x200x18;200;200;18;18;9
200x200x19;200;200;19;18;10
200x200x20;200;200;20;18;10
200x200x21;200;200;21;18;11
200x200x22;200;200;22;18;11
200x200x23;200;200;23;18;12
200x200x24;200;200;24;18;12
200x200x25;200;200;25;18;13
200x200x26;200;200;26;18;13
200x200x28;200;200;28;18;14
